team_name,conference,w,l,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,sos_adj_o,sos_adj_d,ncsos_adj_em
Cal Poly,BW,14,19,-3.64,109.4,113.1,74,-0.003,1.29,108.6,107.3,5.22
James Madison,SB,18,15,-3.91,109.1,113,66,0.017,-4.9,106.5,111.4,-2.72
Youngstown St.,Horz,15,17,-3.92,105.5,109.4,67.2,-0.092,-3.76,109.5,113.3,-1.53
Samford,SC,18,14,-3.93,109.6,113.6,67.2,0.009,-5.97,107.9,113.9,0.22
Long Island,NEC,24,10,-3.95,105.6,109.6,67.8,0.104,-9.97,103.6,113.5,2.14
Detroit Mercy,Horz,17,15,-4.15,107.9,112.1,68.8,0.067,-2.36,109.6,112,7.71
Southern Miss,SB,19,16,-4.17,105.2,109.4,69.3,0.043,-3.67,107.1,110.8,1.23
Quinnipiac,MAAC,19,13,-4.25,104.2,108.4,69.9,0.027,-7.46,104,111.5,1.33
South Dakota St.,Sum,14,18,-4.31,108,112.3,66.8,-0.117,-3.11,107.7,110.8,2.48
Tarleton St.,WAC,14,18,-4.38,104.2,108.6,69.2,-0.041,0.68,107.7,107.1,3.97
Drexel,CAA,17,16,-4.71,102.4,107.1,64.2,0.003,-4.42,106.3,110.7,-7.99
Tennessee Martin,OVC,22,11,-4.81,100.4,105.2,64.1,0.048,-8.75,102.9,111.6,0.35
San Diego,WCC,12,21,-4.99,108.2,113.2,68,0.003,2.24,109.6,107.4,-2.15
San Jose St.,MWC,9,24,-5.01,112.1,117.1,65.1,-0.012,7.14,113,105.8,1.95
Rice,Amer,13,18,-5.23,108.6,113.8,65.5,0.009,-0.32,108.7,109,-2.1
Stony Brook,CAA,17,15,-5.52,105.2,110.7,66.2,0.064,-2.94,106.9,109.8,-4.31
Ohio,MAC,15,17,-5.57,107.9,113.5,68.8,0.025,-1.34,108.8,110.2,0.92
Western Carolina,SC,15,16,-5.59,109.2,114.7,67.8,-0.015,-4.01,108.7,112.7,9.69
Elon,CAA,14,18,-5.73,110.1,115.8,66.8,-0.03,-2.41,108.3,110.7,-3.16
Long Beach St.,BW,10,22,-5.77,105.6,111.3,68.5,-0.03,0.97,108.5,107.6,4.42
Southeast Missouri,OVC,20,13,-5.84,102.2,108,68.9,0.031,-8.04,103.9,112,4.43
La Salle,A10,9,23,-5.88,105.7,111.5,65.8,-0.029,5.18,111.1,105.9,3.93
Denver,Sum,15,17,-6,116,122,67.9,0.007,-1.69,109,110.7,7.78
Georgia Southern,SB,21,16,-6.05,110.2,116.2,70,0.057,-5.8,105.8,111.6,-6.65
Nicholls,Slnd,14,19,-6.24,105.8,112,68.2,0.044,-0.12,108.3,108.4,9.73
Lamar,Slnd,12,19,-6.3,103.1,109.4,65.6,-0.089,-2.75,107,109.7,-0.67
American,PL,16,16,-6.31,105.6,111.9,66.7,-0.024,-7.88,105.2,113.1,0.73
Eastern Michigan,MAC,10,21,-6.39,101.9,108.3,66.5,-0.096,-0.53,109.6,110.1,1.85
Vermont,AE,22,12,-6.45,106.1,112.6,64.8,0.008,-10.96,102.9,113.9,-2.43
Charleston Southern,BSth,15,17,-6.48,105.7,112.2,71.5,-0.09,-6.43,105.9,112.3,-5.58
Abilene Christian,WAC,14,19,-6.56,101.1,107.6,67.8,0.029,0.19,108.2,108.1,0.83
Bethune Cookman,SWAC,17,15,-6.6,103.6,110.2,69,0.069,-7.16,104.8,111.9,13.74
Florida Gulf Coast,ASun,16,18,-6.61,105.5,112.2,67.5,-0.029,-5.86,108,113.9,0.19
Texas St.,SB,19,13,-6.65,104,110.6,66,0.084,-6.85,105.3,112.2,-9.11
